date,last_2_digits,source
2024-01-17,61,sample
2024-02-01,09,sample
2024-02-16,43,sample
2024-03-01,79,sample
2024-03-16,78,sample
2024-04-01,90,sample
2024-04-16,79,sample
2024-05-02,61,sample
2024-05-16,05,sample
2024-06-01,42,sample
2024-06-16,89,sample
2024-07-01,26,sample
2024-07-16,21,sample
2024-08-01,45,sample
2024-08-16,28,sample
2024-09-01,33,sample
2024-09-16,37,sample
2024-10-01,59,sample
2024-10-16,10,sample
2024-11-01,63,sample
2024-11-16,89,sample
2024-12-01,61,sample
2024-12-16,32,sample
2025-01-17,52,sample
2025-02-01,22,sample
2025-02-16,37,sample
2025-03-01,87,sample
2025-03-16,61,sample
2025-04-01,77,sample
2025-04-16,58,sample
2025-05-02,31,sample
2025-05-16,44,sample
2025-06-01,18,sample
2025-06-16,72,sample
2025-07-01,51,sample
2025-07-16,09,sample
2025-08-01,28,sample
2025-08-16,88,sample
2025-09-01,14,sample
2025-09-16,65,sample
2025-10-01,06,sample
2025-10-16,91,sample
2025-11-01,40,sample
2025-11-16,32,sample
2025-12-01,12,sample
2025-12-16,74,sample
2026-01-17,16,sample
2026-02-01,02,sample
2026-02-16,48,sample
2026-03-01,07,sample
2026-03-16,06,sample
2026-04-01,64,sample
2026-04-16,47,sample
2026-05-02,77,sample
2026-05-16,43,sample
